answer,qid
A Lion asleep in his lair was waked up by a Mouse running over his face .,fables-06-1
The Mouse,fables-06-2
The idea of a creature the Lion that he,fables-06-3
"One day the Lion got entangled in a net which had been spread for game by some hunters , and the Mouse heard and recognised his roars of anger and ran to the spot .",fables-06-4
A Lion asleep in his lair was waked up by a Mouse running over his face .,fables-06-5
A trapper spread a big game,fables-06-6
The lion the net,fables-06-7
The mouse the rope of the net with the tooth of the mouse,fables-06-8
A Lion asleep in his lair,fables-06-9
in order to catch a big game,fables-06-10
The mouse,fables-06-11
The mouse,fables-06-12
more ado,fables-06-13
The lion,fables-06-14
The mouse,fables-06-15
because he thought that the mouse is extremely not able to help him,fables-06-16
A trapper,fables-06-17
A trapper,fables-06-18
A Lion asleep in his lair was waked up by a Mouse running over his face .,fables-06-19
Losing his temper he seized it with his paw and was about to kill it .,fables-06-20
Losing his temper he seized it with his paw and was about to kill it .,fables-06-21
A Lion asleep in his lair was waked up by a Mouse running over his face .,fables-06-22
A Lion asleep in his lair was waked up by a Mouse running over his face .,fables-06-23
"One day the Lion got entangled in a net which had been spread for game by some hunters , and the Mouse heard and recognised his roars of anger and ran to the spot .",fables-06-24
A Lion asleep in his lair was waked up by a Mouse running over his face .,fables-06-25
A Lion asleep in a Mouse running over,fables-06-26
A Lion asleep in his lair,fables-06-27
"`` Please let me go , '' it cried , `` and one day I will repay you for your kindness . ''",fables-06-28
Louisiana was adversely affected by Hurricane Gustav .,blogs-03-1
The storm the morning,blogs-03-2
Winds started kicking up .,blogs-03-3
the damage,blogs-03-4
Here 's what happened to me and my family : We watched the storm moving in all of last weekend on the Weather Channel and local news .,blogs-03-5
I went to Home Depot just in the nick of time to purchase a portable generator .,blogs-03-6
a neighborhood of the narrator a large group of pine trees a group of oak trees,blogs-03-7
to be nervous because it,blogs-03-8
"Thankfully , my parents ' house had electricity restored the day after the storm so I was able to bring my family to their house until electricity at my house gets restored .",blogs-03-9
The narrator,blogs-03-10
An area of a neighborhood of the narrator,blogs-03-11
The tree,blogs-03-12
The narrator,blogs-03-13
The narrator,blogs-03-14
in an area of the home,blogs-03-15
The narrator,blogs-03-16
storm,blogs-03-17
The narrator,blogs-03-18
in Louisiana,blogs-03-19
The narrator,blogs-03-20
the broiler of,blogs-06-1
The oven a group of treats,blogs-06-2
The husband of the narrator the fire,blogs-06-3
The husband of the narrator the door of the oven in order the fire spreading,blogs-06-4
A couple of weeks ago we a fire in,blogs-06-5
The oven,blogs-06-6
a batch of cookies,blogs-06-7
the fire extinguisher,blogs-06-8
The oven malfunctioned ... it was supposed to be baking at 350 degrees but somehow broiler came on and got stuck ? ? ...,blogs-06-9
because the broiler of the oven activated,blogs-06-10
to the ceiling of the house,blogs-06-11
The fire,blogs-06-12
The husband of the narrator,blogs-06-13
my new range,blogs-06-14
my husband,blogs-06-15
The oven,blogs-06-16
The oven,blogs-06-17
An oven,blogs-06-18
The oven malfunctioned ... it was supposed to be baking at 350 degrees but somehow broiler came on and got stuck ? ? ...,blogs-06-19
of weeks,blogs-06-20
my husband went to get a batch of cookies and found them in flames .,blogs-06-21
He tried to put the fire out unsuccessfully and then quickly shut the door to keep the fire from spreading .,blogs-06-22
He opened the oven door and the flames shot all the way up to the ceiling ! ! !,blogs-06-23
The oven malfunctioned ... it was supposed to be baking at 350 degrees but somehow broiler came on and got stuck ? ? ...,blogs-06-24
A Crow was sitting on a branch of a tree with a piece of cheese in her beak when a Fox observed her and set his wits to work to discover some way of getting the cheese .,fables-01-1
a branch of a tree with a piece of cheese in a Fox the cheese,fables-01-2
A Crow was sitting on a branch of a tree with a piece of cheese in her beak when a Fox observed her and set his wits to work to discover some way of getting the cheese .,fables-01-3
the crow the cheese,fables-01-4
